day,CC-ver,CC-non,SZ-ver,SZ-non,SH-ver,SH-non
1,5,0,1,0,3,45
2,7,0,1,0,4,51
3,7,5,2,0,3,62
4,17,6,3,0,4,76
5,12,10,6,2,11,64
6,23,25,3,0,5,78
7,2,21,3,0,1,64
8,63,97,8,0,41,128
9,831,42,6,1,9,130
10,430,3,3,0,5,197
11,460,3,7,1,8,150
12,1044,3,8,1,57,203
13,268,5,8,5,8,366
14,595,0,9,9,17,492
15,743,1,26,4,24,734
16,833,3,30,6,31,865
17,1079,1,23,5,4,977
18,1437,0,25,0,4,979
19,1979,0,23,2,29,1580
20,1280,253,22,1,38,2231
21,576,290,21,0,45,2631
22,554,403,17,0,50,3450
23,633,495,19,0,96,4381
24,706,330,13,73,326,5656
25,622,310,6,0,355,5298
26,875,348,15,0,358,4144
27,997,422,9,2,260,6051
28,1078,444,27,2,438,7788
29,1544,894,60,6,425,8581
30,723,3100,75,11,268,13086
31,574,2346,39,21,311,16766
32,604,1336,55,37,322,19660
33,817,1682,71,20,824,20398
34,766,1423,69,36,1015,22609
35,474,1553,46,31,1006,23937
36,150,648,49,17,914,25173
37,175,703,33,11,994,22348
38,102,743,23,5,1189,25141
39,81,570,13,5,2573,25146
40,173,801,5,4,3200,19872
41,285,621,2,1,3590,19923
42,138,298,2,5,3238,21582
43,157,407,0,3,2417,19831
44,125,491,1,6,3084,17332
45,144,348,3,6,2494,16407
46,74,365,1,7,2634,15861
47,125,243,6,3,1931,15698
48,88,233,0,2,2736,20634
49,53,211,0,2,1401,19657
50,129,188,0,1,2472,16983
51,45,127,0,0,1661,15319
52,74,89,0,0,1606,11956
53,34,89,0,0,1292,9330
54,46,66,0,0,5487,9545
55,52,89,0,0,1249,8932
56,34,39,1,0,788,7084
57,19,29,0,4,,
58,,,0,1,,
59,,,0,0,,
60,,,2,3,,
61,,,8,13,,
62,,,1,7,,
63,,,2,2,,
64,,,6,2,,
65,,,2,2,,
66,,,1,0,,
67,,,0,0,,
68,,,0,0,,
69,,,0,0,,
70,,,0,1,,
71,,,0,0,,
72,,,0,0,,
